City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Juba,SS,84.61,broken clouds,4.85,31.58,ROYAL PALACE HOTEL - JUBA
1,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.08,Scoop Guest House
2,Grand-Santi,GF,71.69,scattered clouds,4.25,-54.38,Hotel La Villa Couacou
3,Osmena,PH,85.21,clear sky,10.52,119.93,Arjemarkyza Lodge
10,Sambava,MG,80.73,clear sky,-14.27,50.17,Melrose
14,Bullhead City,US,73.4,clear sky,35.15,-114.57,Golden Nugget Laughlin Hotel & Casino
18,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
24,Sur,OM,87.26,few clouds,22.57,59.53,Sur Plaza Hotel
27,Omboue,GA,80.89,few clouds,-1.57,9.26,Hotel Olako
29,Itacarambi,BR,71.35,moderate rain,-15.1,-44.09,POUSADA CAMALEÃO
31,Rikitea,PF,74.23,light rain,-23.12,-134.97,Pension Maro'i
33,Poum,NC,75.4,clear sky,-20.23,164.02,Gîte kajeon
36,Karimganj,IN,89.19,light rain,24.87,92.35,Ahar Hotel And Aheli Restaurant
37,Yara,CU,72.72,light rain,20.28,-76.95,Casa de Alexander Leyva Torres
41,Sao Joao Da Barra,BR,70.56,scattered clouds,-21.64,-41.05,Pousada Porto De Canoas
42,Atuona,PF,78.08,clear sky,-9.8,-139.03,Villa Enata
43,Tambun,ID,88.0,scattered clouds,-6.26,107.07,@HOM Premiere Tambun
48,Busselton,AU,80.01,clear sky,-33.65,115.33,Observatory Guest House
58,Naze,JP,77.0,broken clouds,28.37,129.48,奄美ポートタワーホテル
59,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
63,Butaritari,KI,82.71,overcast clouds,3.07,172.79,Isles Sunset Lodge
64,Benguela,AO,77.0,broken clouds,-12.58,13.41,Hotel Praia Morena
65,Kapaa,US,77.0,light rain,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
66,Airai,TL,73.08,broken clouds,-8.93,125.41,Juvinal Martin
67,Nata,PA,72.0,overcast clouds,8.33,-80.52,Cabañas Estancia Bayamon
