City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dunedin,NZ,2020-10-18 04:26:46,-45.87,170.5,48.99,76,83,17.0
1,Vaini,TO,2020-10-18 04:31:30,-21.2,-175.2,75.2,83,40,17.22
2,New Norfolk,AU,2020-10-18 04:31:31,-42.78,147.06,61.0,64,99,3.0
3,Norman Wells,CA,2020-10-18 04:31:31,65.28,-126.83,5.0,84,5,3.36
4,Takoradi,GH,2020-10-18 04:31:31,4.88,-1.76,76.35,90,94,5.84
5,Rikitea,PF,2020-10-18 04:31:32,-23.12,-134.97,74.73,78,100,20.58
6,Yellowknife,CA,2020-10-18 04:30:44,62.46,-114.35,24.01,92,75,12.75
7,Houma,US,2020-10-18 04:29:47,29.6,-90.72,64.0,93,1,3.36
8,Saint George,US,2020-10-18 04:30:04,37.1,-113.58,69.01,15,1,3.36
9,Punta Arenas,CL,2020-10-18 04:31:33,-53.15,-70.92,42.8,81,20,12.75
10,Taltal,CL,2020-10-18 04:31:33,-25.4,-70.48,57.04,74,9,0.76
11,Ushuaia,AR,2020-10-18 04:29:57,-54.8,-68.3,42.8,81,75,6.93
12,Benavente,ES,2020-10-18 04:31:34,42.0,-5.68,48.99,93,90,2.24
13,Vani,GE,2020-10-18 04:31:34,42.08,42.52,48.2,93,0,4.7
14,Hithadhoo,MV,2020-10-18 04:31:34,-0.6,73.08,83.66,77,97,21.32
15,Castro,BR,2020-10-18 04:31:35,-24.79,-50.01,52.03,91,57,11.27
16,Albany,US,2020-10-18 04:28:54,42.6,-73.97,39.99,80,1,3.36
17,Mataura,NZ,2020-10-18 04:31:35,-46.19,168.86,54.0,63,82,8.99
18,Fortuna,US,2020-10-18 04:31:35,40.6,-124.16,54.0,87,1,3.36
19,Anadyr,RU,2020-10-18 04:31:36,64.75,177.48,32.0,82,70,4.47
20,Kununurra,AU,2020-10-18 04:31:36,-15.77,128.73,98.6,35,23,4.7
21,Kavieng,PG,2020-10-18 04:31:36,-2.57,150.8,84.74,72,38,7.9
22,Geraldton,AU,2020-10-18 04:31:09,-28.77,114.6,80.6,42,0,18.34
23,Hilo,US,2020-10-18 04:31:37,19.73,-155.09,80.6,69,1,6.93
24,Leningradskiy,RU,2020-10-18 04:31:37,69.38,178.42,22.57,88,0,8.25
25,Ponta Do Sol,PT,2020-10-18 04:31:37,32.67,-17.1,69.8,68,40,14.99
26,Ulladulla,AU,2020-10-18 04:31:38,-35.35,150.47,69.01,93,90,6.93
27,Bambanglipuro,ID,2020-10-18 04:31:38,-7.95,110.28,83.46,65,66,12.55
28,Krasnoselkup,RU,2020-10-18 04:31:38,65.7,82.47,24.48,98,42,13.91
29,Coihaique,CL,2020-10-18 04:31:38,-45.58,-72.07,46.4,70,20,8.05
30,Paramonga,PE,2020-10-18 04:31:39,-10.67,-77.83,61.9,87,51,6.02
31,Luderitz,NA,2020-10-18 04:31:39,-26.65,15.16,67.12,33,35,14.05
32,Hasaki,JP,2020-10-18 04:31:39,35.73,140.83,69.01,68,75,12.75
33,Lida,BY,2020-10-18 04:31:39,53.88,25.3,38.12,88,100,8.97
34,Kruisfontein,ZA,2020-10-18 04:31:39,-34.0,24.73,57.99,93,100,1.01
35,Constitucion,CL,2020-10-18 04:31:40,-35.33,-72.42,50.41,78,0,8.21
36,Nizhnevartovsk,RU,2020-10-18 04:31:40,60.93,76.55,30.2,86,75,13.42
37,Kedrovka,RU,2020-10-18 04:31:40,55.53,86.05,48.2,76,75,22.37
38,Baoro,CF,2020-10-18 04:31:40,5.67,15.97,66.31,90,97,1.66
39,Kaitangata,NZ,2020-10-18 04:31:41,-46.28,169.85,50.04,72,88,6.58
40,Baykit,RU,2020-10-18 04:31:41,61.67,96.37,38.86,89,100,6.04
41,Caborca,MX,2020-10-18 04:31:41,30.58,-111.1,70.65,28,80,1.83
42,Tuktoyaktuk,CA,2020-10-18 04:31:41,69.45,-133.04,14.0,92,5,4.7
43,Sorong,ID,2020-10-18 04:31:42,-0.88,131.25,84.7,68,100,12.5
44,Mapimi,MX,2020-10-18 04:31:42,25.82,-103.85,68.18,49,0,1.61
45,Harper,LR,2020-10-18 04:31:42,4.38,-7.72,76.1,90,60,5.77
46,Busselton,AU,2020-10-18 04:31:42,-33.65,115.33,80.01,31,0,1.36
47,Bredasdorp,ZA,2020-10-18 04:31:43,-34.53,20.04,55.4,87,100,8.05
48,Laguna,US,2020-10-18 04:31:43,38.42,-121.42,73.0,52,0,3.22
49,Bluff,NZ,2020-10-18 04:31:43,-46.6,168.33,54.0,63,67,8.99
50,Acapulco,MX,2020-10-18 04:31:43,16.86,-99.89,79.97,82,23,6.91
51,Ust-Tsilma,RU,2020-10-18 04:31:43,65.44,52.15,31.01,97,94,4.68
52,Longyearbyen,SJ,2020-10-18 04:31:44,78.22,15.64,24.8,79,40,5.82
53,Provideniya,RU,2020-10-18 04:31:44,64.38,-173.3,35.53,88,46,2.21
54,Farim,GW,2020-10-18 04:31:45,12.48,-15.22,78.8,94,4,3.38
55,Padang,ID,2020-10-18 04:31:45,-0.95,100.35,86.25,59,85,4.43
56,Ostrovnoy,RU,2020-10-18 04:31:45,68.05,39.51,33.53,85,2,8.14
57,Port Elizabeth,ZA,2020-10-18 04:27:37,-33.92,25.57,59.0,93,75,16.11
58,Polyarnyy,RU,2020-10-18 04:31:46,69.2,33.45,21.2,100,90,2.24
59,Pafos,CY,2020-10-18 04:31:46,34.77,32.42,64.4,59,20,8.05
60,Chuy,UY,2020-10-18 04:31:46,-33.7,-53.46,60.48,88,72,7.7
61,Bethel,US,2020-10-18 04:31:46,41.37,-73.41,39.99,93,1,1.66
62,Kattivakkam,IN,2020-10-18 04:31:47,13.22,80.32,78.8,88,90,3.36
63,Beidao,CN,2020-10-18 04:31:47,34.57,105.89,53.89,45,96,3.98
64,Arraial Do Cabo,BR,2020-10-18 04:31:47,-22.97,-42.03,70.0,81,51,13.76
65,Saskylakh,RU,2020-10-18 04:31:47,71.92,114.08,16.59,96,98,4.21
66,Erenhot,CN,2020-10-18 04:31:47,43.65,111.98,52.93,39,0,13.65
67,Manokwari,ID,2020-10-18 04:30:28,-0.87,134.08,83.1,76,100,10.54
68,Honiara,SB,2020-10-18 04:28:28,-9.43,159.95,87.8,74,40,11.41
69,Cabedelo,BR,2020-10-18 04:31:48,-6.98,-34.83,73.4,88,40,5.82
70,Sakakah,SA,2020-10-18 04:31:47,29.97,40.21,64.4,23,0,4.7
71,Paamiut,GL,2020-10-18 04:31:49,61.99,-49.67,39.67,86,84,8.79
72,Daru,PG,2020-10-18 04:31:49,-9.08,143.21,81.64,75,42,15.1
73,Kisesa,TZ,2020-10-18 04:31:49,-3.08,34.15,72.57,49,64,8.75
74,Vallenar,CL,2020-10-18 04:31:49,-28.57,-70.76,58.84,57,0,1.48
75,Gamba,GA,2020-10-18 04:31:50,-2.65,10.0,76.41,88,100,5.61
76,Sembe,CG,2020-10-18 04:31:50,1.65,14.58,69.46,95,94,2.28
77,Sambava,MG,2020-10-18 04:31:50,-14.27,50.17,76.84,70,21,11.72
78,Tura,IN,2020-10-18 04:31:50,25.52,90.22,85.24,72,44,2.57
79,Mantenopolis,BR,2020-10-18 04:31:50,-18.86,-41.12,64.63,82,98,2.13
80,Dikson,RU,2020-10-18 04:31:51,73.51,80.55,18.5,93,1,23.96
81,Khatanga,RU,2020-10-18 04:31:51,71.97,102.5,9.39,91,32,8.28
82,Sohag,EG,2020-10-18 04:31:51,26.56,31.69,68.0,56,0,6.93
83,Mar Del Plata,AR,2020-10-18 04:29:53,-38.0,-57.56,68.0,88,0,6.93
84,Mehamn,NO,2020-10-18 04:31:52,71.04,27.85,37.33,76,86,9.37
85,Tiksi,RU,2020-10-18 04:31:52,71.69,128.87,19.47,95,100,12.28
86,Cap Malheureux,MU,2020-10-18 04:31:52,-19.98,57.61,78.01,62,19,8.01
87,Aksu,CN,2020-10-18 04:31:52,41.12,80.26,61.86,28,0,2.95
88,Port Blair,IN,2020-10-18 04:29:06,11.67,92.75,82.22,80,100,15.55
89,Kapaa,US,2020-10-18 04:31:53,22.08,-159.32,75.2,94,40,5.82
90,Isangel,VU,2020-10-18 04:31:53,-19.55,169.27,78.8,83,75,11.41
